ds,yhat,yhat_lower,yhat_upper
2019-09-22,37.5072712749292,30.102043231741924,44.73570892512454
2019-09-29,37.74570231354427,30.828656355932303,44.57028281346781
2019-10-06,39.78668975192492,32.59577632021013,46.53390066979527
2019-10-13,41.2009070359826,33.93063573473473,48.03728917475253
2019-10-20,40.08508384372224,32.92355691873992,46.72394760327102
2019-10-27,37.86167613796238,30.563036096836093,45.02296917000001
2019-11-03,38.06673449453002,31.2256438881479,45.15187362609208
2019-11-10,42.10083329890801,35.41771008931046,49.25131102895902
2019-11-17,47.0796478375594,39.93809597645606,54.116218923611896
2019-11-24,48.82438116148984,42.35476777793232,55.51109027156844
2019-12-01,46.80061447305769,40.1686313610826,53.650837566677765
2019-12-08,45.071621610501005,38.186370759778704,51.78522608097802
2019-12-15,47.79495780783727,41.0476194579735,55.29576496252123
2019-12-22,54.33294667285944,47.53493460886333,61.29721947066332
2019-12-29,59.717830126392,52.98625867953907,67.29871703668096
2020-01-05,60.015662461859904,52.6260126713014,66.8383413929547
2020-01-12,56.426542793750805,49.68170133269284,63.73877017777284
2020-01-19,53.55783069274136,45.96279278531391,60.40735330342597
2020-01-26,54.19472506511341,47.45634974644252,61.09781927567145
2020-02-02,56.75236074576526,50.09255865806328,63.75831125628663
2020-02-09,57.99030856715741,50.98528455609271,64.75981591096826
2020-02-16,57.19247973227597,50.18120615962945,63.955281478867306
2020-02-23,56.656289528689605,49.8445315582055,63.4154669936412
2020-03-01,58.29492329093294,51.30498192973967,65.44670923707669
2020-03-08,60.96891548733237,54.12192416376483,67.79643590298294
2020-03-15,61.91830379323053,54.83854113937791,68.73643363368075
2020-03-22,60.28057633753553,53.16171355337542,66.95900126715067
2020-03-29,58.12675352913723,51.25535447106345,65.29587029134605
2020-04-05,57.80160523518432,50.16837485482297,64.97349188448035
2020-04-12,59.09605634900036,52.08759010041312,65.96177867799572
2020-04-19,59.82457035982527,52.91543467604097,66.13349517645649
2020-04-26,58.85973711946514,51.85816261862861,66.01057529006565
2020-05-03,57.55444668755449,50.51306326456256,64.46007430730312
2020-05-10,57.7376079224736,50.62447817302139,64.77653620691254
2020-05-17,59.03690311217952,51.99650032429582,65.7392537423342
2020-05-24,59.16586910835593,51.52674711726812,65.93747114030627
2020-05-31,56.89373049201907,50.35388010033276,63.76980908088269
